지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Seoul Land,4.2,"Korea's first theme park, opened in 1988",37.4341563,127.0201267,https://t0.gstatic.com/images?q=tbn:ANd9GcSyfpENLfXblXAydzlzTP-Gcp_S0n8VNl9XqroRPtcnKT3jkxoo8VnCXGBg3prpDprQvsfL60nI9mxFKQ,"181 Gwangmyeong-ro, Makgye-dong, Gwacheon-si, Gyeonggi-do, South Korea",Outdoors Art&Culture Kind-friendly
Noeul Park,4.6,Park and camping,37.5735764,126.8752845,https://t3.gstatic.com/images?q=tbn:ANd9GcRmnOX9q-1D9L28qJSRbzU--F43gRbGShUg3XYVIRfiLxMXhkMmup2Tfe_ozbMiQbyNGRmY5zETZ_IqGA,"486-6 Sangam-dong, Mapo-gu, Seoul, South Korea",Outdoors
Marronnier Park,4.2,Park and art,37.5805009,127.0028245,https://lh4.googleusercontent.com/-lZGUKDezp4M/XV18IhfhE-I/AAAAAAAAP_s/DWyb1I-oELk6VxOJ3lyuSpK3YWtcl0SfACLIBGAYYCw/w464-h260-n-k-no/,"1 Daehak-ro 8-gil, Ihwa-dong, Jongno-gu, Seoul, South Korea",Outdoors Kind-friendly
Dosan Park,4.3,Park,37.5244813,127.0353667,https://lh3.googleusercontent.com/--VxYc-4BUaw/WSgTqfsz4UI/AAAAAAABeRU/te3qjyHBaj0UJyUwBd0fEMNC_Rje59DqACLIB/w464-h260-n-k-no/,"20 Dosan-daero 45-gil, Sinsa-dong, Gangnam-gu, Seoul, South Korea",Outdoors
Bundang Central Park,4.5,Big recreational area with a bike trail,37.3770785,127.1237901,https://lh3.googleusercontent.com/-gJqPJ7IWPXU/XaGSis9jlkI/AAAAAAABP4E/fdDDKk6HcXQa6DXfkACNcUYt7jnMV_3AwCLIBGAYYCw/w464-h260-n-k-no/,"550 Seongnam-daero, Sunae-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",Outdoors Kind-friendly
Dobongsan,4.6,Lush peak with big rocks & an old temple,37.7004635,127.0156843,https://t2.gstatic.com/images?q=tbn:ANd9GcTlLWpSCLqa-woKDCYLFut-A5YnmdT-5zMXF9hJVsnzS4yHz5JOjzJsfEZwoi5FlehkO4cChDeoJVDy2g,"Dobongsan, Dobong 1(il)-dong, Seoul",Outdoors Kind-friendly
Gyeongui Line Forest Park,4.4,Park,37.5588868,126.9254274,https://lh5.googleusercontent.com/-dprE1hTzn_g/Wlgn22LnHAI/AAAAAAABuAs/c_5cAGqfsronPVbE9E1_e81-wjmjZN_dQCLIBGAYYCw/w464-h260-n-k-no/,"147-89 Donggyo-dong, Mapo-gu, Seoul, South Korea",Outdoors SeoulFutureHeritage
N Seoul Tower,4.4,Tower with city views & a restaurant,37.5511694,126.9882266,https://lh3.googleusercontent.com/proxy/uNI79ZyOCsBsGaBWfQq4jpon9OQHYU9vxSR2VT7yjhgSzh5y-KcDToXbermJS7nKRLMab10JirhscpXUQ0vib30jmjwOyHFYMWNNGn4Se7vh_8As3PJOw9Qh14Hg2D8oV8bU1L3YEOnDTyq43t3koaKiE2w6MBBd4ooau0Y5Yj8l=w464-h260-n-k-no,"105 Namsangongwon-gil, Yongsan 2(i)ga-dong, Yongsan-gu, Seoul, South Korea",Outdoors Kind-friendly Nightview
Inwangsan,4.6,"Mountain, hiking, tiger, and mountaineering",37.5849489,126.9593042,https://t2.gstatic.com/images?q=tbn:ANd9GcTYX882TZ2ZGACt-D01VrzDmJInL6uPnlw2ORBrBOzSDx6QtqDrrt4LQeIE1Q0gcH1xUdM-AcWD4d85ng,"Inwangsan, Ogin-dong, Seoul",Outdoors Kind-friendly
Seokchon Lake Park,4.5,"Park, autumn leaf color, and lake",37.5097431,127.1030184,https://lh3.googleusercontent.com/-0wFmT4NeAQA/VSpeyLB2nUI/AAAAAAAABmE/n-supt8hDDEiGDm3v_O2V-f6XHJASHFkQCJkC/w464-h260-n-k-no/,"47 Jamsil-dong, Songpa-gu, Seoul, South Korea",Outdoors Art&Culture
