지명,평점,상세설명,mapx,mapy,이미지링크,주소,카테고리
증권박물관,4.0,박물관,126.78610926423218,37.63844071349516,https://lh6.googleusercontent.com/-52rCoiDUQp8/XOzJCSTE0SI/AAAAAAAAIww/8Lk5strkVtwPx7IXPt-0NEiuz3TVeoZnACLIBGAYYCw/w464-h260-n-k-no/,경기도 고양시 일산동구 백석동 1328,"여행,명소>박물관"
쉼박물관,4.3,박물관 및 예술,126.95569074306701,37.59955135264799,https://lh4.googleusercontent.com/-XnbU4fiMd4M/XHaA4wKdcMI/AAAAAAAAXRc/ntZ2uwfLsPgIksgURx_97Bgeb0N4SinAgCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 홍지동 36-20,"여행,명소>박물관"
박을복자수박물관,3.7,박물관,127.00852446871677,37.65387028934609,https://lh5.googleusercontent.com/proxy/i6KcZNLiQg5Pb48u3xZviHxx91xXnH-K8Z8NEqTw1xjgBwUBoWUuvyPi9niinIufBYtusG_7gKI0kQHdSoAxH3niBTfjEu6hfIOmEhaXVfQnIIJkXf8p_ilKYI6ykzGwo82SY1CFEXSD0f0JnU9u-zojFv1VZw6WtrI=w464-h260-n-k-no,서울특별시 강북구 우이동 86-4,"여행,명소>박물관"
광고박물관,3.9,박물관,127.09977360364175,37.515731465259826,https://lh6.googleusercontent.com/-RNk_x0hDQnU/W2UwhARcdlI/AAAAAAACSzI/-34p8ZX4AL8Eow1j92sl6AdXDdVlxt76gCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 송파구 신천동 7-11 한국광고문화회관 3층,"여행,명소>박물관"
박노수 가옥,3.8,미술관,126.9668470052774,37.58139439523131,https://lh4.googleusercontent.com/-lhOHEncpmkg/WS1SxnZ5nkI/AAAAAAAAjag/6NJTsLJQJnQzQZk1lQwPpYZQ-RND0uCKACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 옥인동 168-2,"문화,예술>미술관"
동아일보 사옥,3.8,미디어 기업,126.97770084897438,37.5700635773802,https://lh4.googleusercontent.com/proxy/gON4fKZ_ntHh4eHD7x92j8wX4h4ZoxXu_QHFLbiyZJfDBvM_00YP5I4jZELghUOKZRr9AIMso1KyYMZYEU-BI3T3uAPmHtTQFSHdNdon4kWq_Frn9SYPEnNKsTdD0N5TgMpfgtwDnjfBjuchVslJkdbUqyTMUo4A7WU=w464-h260-n-k-no,서울특별시 종로구 세종로,"여행,명소>문화재"
갤러리원,4.3,미술관,126.98093374145941,37.58371522368128,https://lh6.googleusercontent.com/-oUtmZBu_aIc/XYIFl3CaMjI/AAAAAAAAaqY/MD1YQbnWVosQkMo3aBW-7HjAwQ-Q9ZvKwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 팔판동 9,"문화,예술>갤러리,화랑"
D Project space,4.5,미술관 및 예술,126.97145307696374,37.58153368141032,https://lh4.googleusercontent.com/-5Qaw8EX3aFk/XNu78aCsGZI/AAAAAAAABtQ/6Y-nIrf9lX8XS64Fj8fVDexDZGV8bLUbwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 창성동 158-2 지하,"문화,예술>갤러리,화랑"
한화아쿠아플라넷 일산,4.1,다이빙 공연이 있는 대형 수족관,126.75557869882239,37.664000019074706,https://lh3.googleusercontent.com/-rX5tAOk6Wb8/XbUF19UX7MI/AAAAAAAAQFU/hiwCo8iR3VM7KednTv9WUezjIdRHwtZiwCLIBGAYYCw/w464-h260-n-k-no/,경기도 고양시 일산서구 대화동 2606-1,"관람,체험>아쿠아리움"
플레이아쿠아리움 부천,4.0,수족관,126.74429992688815,37.50011111055834,https://lh3.googleusercontent.com/-EGo_SHLQAYU/W_M_HmiZYCI/AAAAAAAAVT0/qVxUgmYbw1oiZMGNR0-dG3tG9oZdRrD2wCLIBGAYYCw/w464-h260-n-k-no/,경기도 부천시 상동 572-1,"관람,체험>아쿠아리움"
동대문시장,4.1,쇼핑 및 패션,127.00383355688845,37.57047590314143,https://lh3.googleusercontent.com/proxy/LFyBIydsmj7hfD7rvt-DStSeGDRN5hoMTBS8U_bj7B8wx_I1AzVee1ur0C3o_mSB5FRac5u4v_deecfkPxp80QFRUIOgr_ENWzC89U8Shrhy6ewfk-MLhC-4XMflhv26J2sJbsfAwdktvj097kd2F3Y38_s=w464-h260-n-k-no,서울특별시 중구 을지로6가,"쇼핑,유통>쇼핑센터,할인매장"
남대문시장,4.1,쇼핑 및 시장,126.97768723916656,37.55944918430892,https://lh4.googleusercontent.com/proxy/Rf0Ftebf_ztHu1lJ4EO0MQ48n8QKp9RanSDkFJELTQ_tJxzU_zK90b7rAPSrEWFJK0I_gOlem2jos4-8W2zofVhATA9W7XOMWBvCvRE4IX_uGcoQ3x_-Ma_wJaiTYhc5K5srYmPWLj2egHCUCghdiFZbF8k=w464-h260-n-k-no,서울특별시 중구 남창동 49-1,"쇼핑,유통>시장"
광장시장,4.1,"시장, 문어목 및 쇼핑",126.99966072212602,37.570152332170245,https://t1.gstatic.com/images?q=tbn:ANd9GcSWX2YGdR3FLPAwW4XiUS0Pq2e4kkv8mtVdpxNAODmKmxuXuP1JkWY2WMj7qSt420ZhMHZ5aAvgo8SMVg,서울특별시 종로구 예지동 2-1,"쇼핑,유통>시장"
경동시장,4.1,시장 및 쇼핑,127.03884559648236,37.57940676887611,https://lh3.googleusercontent.com/-lN-IhkUJ3QY/XJug3U3Pe8I/AAAAAAAAGQY/EBfvp9nX8DIHp10R_WNeTvK8stxdQ_OSwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 동대문구 제기동 1018,"쇼핑,유통>시장"
